X,Y,Z,Cu,HoleId,ClusterId
2907.55,5513.6,2499.87,0.77,56,0
2823.77,5313.7,2556.61,0.7,78,0
2847.6,5461.4,2550.4,0.67,33,0
2847.6,5461.4,2478.4,1.14,33,0
2847.6,5461.4,2475.4,1.29,33,0
2853.3,5365.2,2472.6,0.91,39,0
2853.3,5365.2,2478.6,0.95,39,0
2847.6,5461.4,2493.4,0.74,33,0
2847.6,5461.4,2490.4,0.95,33,0
2853.3,5365.2,2487.6,0.77,39,0
2915.91,5513.6,2489.91,0.73,56,0
2914.3,5513.6,2491.83,0.73,56,0
2905.9,5513.6,2501.84,0.77,56,0
2904.93,5513.6,2502.99,0.77,56,0
2833.21,5313.7,2544.95,0.76,78,0
2847.6,5461.4,2559.4,0.57,33,0
2847.6,5461.4,2556.4,0.57,33,0
2847.6,5461.4,2553.4,0.62,33,0
3097.8,5206,2385.3,0.63,27,0
2951.1,5266.7,2377.5,0.9,42,0
3052.72,5207,2355.15,1.06,32,0
2946.3,5158.6,2424.3,0.66,58,0
3097.8,5206,2382.3,0.63,27,0
3055.54,5207,2349.85,0.96,32,0
2989.55,5313.9,2368.1,1.6,25,0
2951.1,5266.7,2368.5,0.74,42,0
2946.3,5158.6,2436.3,0.72,58,0
3119.92,5206.9,2376.18,0.58,6,0
3045.68,5207,2368.4,0.75,32,0
2986.55,5313.9,2362.9,1.56,25,0
2951.1,5266.7,2374.5,0.9,42,0
2946.3,5158.6,2430.3,0.69,58,0
2946.3,5158.6,2454.3,0.9,58,0
3097.8,5206,2358.3,0.51,27,0
3123.77,5206.9,2380.78,0.63,6,0
3043.1,5254.6,2340,0.78,29,0
3041.45,5207,2376.34,0.98,32,0
3043.1,5254.6,2349,0.85,29,0
3059.76,5207,2341.91,0.9,32,0
3150.8,5252.5,2385,0.74,70,0
2980.55,5313.9,2352.51,1.44,25,0
2951.1,5266.7,2371.5,0.9,42,0
2951.1,5266.7,2389.5,0.9,42,0
2946.3,5158.6,2445.3,0.86,58,0
2946.3,5158.6,2427.3,0.7,58,0
2946.3,5158.6,2433.3,0.69,58,0
2946.3,5158.6,2439.3,0.72,58,0
3061.17,5207,2339.26,1.23,32,0
3097.8,5206,2349.3,0.54,27,0
3122.49,5206.9,2379.24,0.63,6,0
3124.77,5206.9,2381.96,0.65,6,0
3127.63,5206.9,2385.37,0.66,6,0
3048.5,5207,2363.1,0.81,32,0
3040.05,5207,2378.99,0.98,32,0
3042.86,5207,2373.69,0.87,32,0
3043.1,5254.6,2346,0.86,29,0
3058.35,5207,2344.56,0.93,32,0
3063.99,5207,2333.96,0.88,32,0
3150.8,5252.5,2376,0.73,70,0
3150.8,5252.5,2388,0.82,70,0
3150.8,5252.5,2391,0.9,70,0
2965.37,5313.7,2381.75,1.34,78,0
2982.05,5313.9,2355.1,1.56,25,0
2969.56,5313.7,2376.58,1.32,78,0
2985.05,5313.9,2360.3,1.55,25,0
3008.79,5310,2352.67,0.94,67,0
2951.1,5266.7,2386.5,0.9,42,0
3006.73,5310,2350.22,1.09,67,0
2951.1,5266.7,2398.5,1.09,42,0
2951.1,5266.7,2380.5,0.9,42,0
2951.1,5266.7,2395.5,1.2,42,0
2951.1,5266.7,2392.5,1.2,42,0
2946.3,5158.6,2451.3,0.9,58,0
2946.3,5158.6,2421.3,0.66,58,0
2946.3,5158.6,2418.3,0.67,58,0
2946.3,5158.6,2457.3,0.87,58,0
2946.3,5158.6,2448.3,0.86,58,0
